Player,Rank,ADP,Finish2024,Team,Pos,PosRank,Notes,Id
Miles Sanders,150,183.4,,DAL,RB,51,,f24adb34-5412-4edf-95ff-6b68e5fbd41d
Trey Benson,151,141.3,248,ARI,RB,52,,9ee85b14-7fae-4772-b58f-fa2922f230ef
Cedric Tillman,152,148.6,93,CLE,WR,62,,be28ffd2-9c10-44fd-937a-0dd5fa9f22c9
Xavier Legette,153,149.5,179,CAR,WR,63,,a18e7872-b3df-4c74-8130-feb720a928c1
Quentin Johnston,154,139.9,76,LAC,WR,64,,82b3392d-0403-4cc7-9adc-8881b1647655
Joshua Palmer,155,155.2,244,BUF,WR,65,,6dc7832f-45d2-4ae6-8c6a-3595e185a18e
Bhayshul Tuten,156,132.3,,JAX,RB,53,Rookie,ae822ce4-b4ff-4b53-bf83-be036fe15dd2
Jaylen Wright,157,162.8,303,MIA,RB,54,,fa1a54e5-4c1c-45b8-9e9a-3c1568a28d6b
Nick Chubb,158,178.8,,HOU,RB,55,,6958938f-e1b1-4a04-9277-0d13ce07df21
Geno Smith,159,163.8,168,LV,QB,23,,2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a
Matthew Stafford,160,154.4,183,LA,QB,24,,50be3583-2a3d-455a-91ce-ba6959783642
Cameron Ward,161,158.4,,TEN,QB,25,Rookie,ff6b158c-6ff5-45c7-879e-32086288c5fb
Sam Darnold,162,176.6,109,SEA,QB,26,,afb9a9f4-bacd-46f5-ad31-80b2427eae28
Michael Penix,163,141.3,,ATL,QB,27,,a6b061d0-7d58-45b0-8539-c0dd60cb26f9
Darius Slayton,164,194.6,167,NYG,WR,66,,bdecac5a-bd13-4a2c-94c8-4ff12c29d50a
Jack Bech,165,162.4,,LV,WR,67,Rookie,3506f452-2e97-46e6-be4b-e79fed5b3491
Jonnu Smith,166,176.9,64,PIT,TE,17,,c6ad3f37-27db-4232-99cc-aeed22777e85
Isaiah Likely,167,144.2,126,BAL,TE,18,,427d8203-aea8-4b01-972f-039aa0baa0c3
Anthony Richardson,168,190.4,129,IND,QB,28,,ab78a171-01c4-457c-aa8c-7fd835bff986
Keenan Allen,169,196.3,66,,WR,68,Free Agent,8086a0ab-51d0-4510-af6e-34603b9ad807
Michael Wilson,170,182.8,209,ARI,WR,69,,9e0a17b1-fda3-4066-aa3c-4f742588536c
Dyami Brown,171,186.9,195,JAX,WR,70,,9f137949-d162-475c-bf95-9d43e7d58824
Marvin Mims Jr.,172,127.9,107,DEN,WR,71,,e7384056-0c8d-48b5-8ece-43a68ad9d200
Demario Douglas,173,166.4,170,NE,WR,72,,63cbde87-5fd3-410c-9c64-2185510182ef
Chig Okonkwo,174,188.1,221,TEN,TE,19,,2a65964a-1345-435e-998e-ee29adf6d251
Hunter Henry,175,161,158,NE,TE,20,,24e943a8-7926-4012-9d7e-138315b764cd
Brenton Strange,176,158.4,242,JAX,TE,21,,951df6a2-c1b0-499f-819e-67798c2cc6a2
Zach Ertz,177,173.9,110,WAS,TE,22,,44a906d5-b179-45f9-b69f-281595bea71d
Theo Johnson,178,212.5,251,NYG,TE,23,,3349f39b-9dd6-42f3-a50c-8f7e8134d2bf
Braelon Allen,179,172.2,217,NYJ,RB,56,,84f0a2d4-81a1-424b-a516-172e02cd82e3
Rico Dowdle,180,179.6,65,CAR,RB,57,,a07ec2e7-a9ff-4797-8b81-e97de03a6a51
DJ Giddens,181,197.1,,IND,RB,58,Rookie,5187785b-3707-4207-aee0-a55778dfb9a1
Justice Hill,182,200.8,147,BAL,RB,59,,8f4756df-0eba-4393-bc91-cd38984dcda8
Pat Bryant,183,165.3,,DEN,WR,73,Rookie,e0d74144-6bd8-467f-b5a6-de01ef683097
Jalen McMillan,184,168.1,79,TB,WR,74,,2b703cdf-19c6-44bc-9061-11994c555ce9
Alec Pierce,185,180.8,84,IND,WR,75,,bc9e2c1b-6bb4-4bc9-84af-202f71c65de7
Mason Taylor,186,186.8,,NYJ,TE,24,Rookie,a6ce2c32-ead2-45cf-8add-22978d63a07e
Aaron Rodgers,187,186.1,165,PIT,QB,29,,1bd33029-b88d-43fa-998e-775a6741a5e7
Russell Wilson,188,209.9,166,NYG,QB,30,,0a189fd2-3410-4074-a5c6-0197f8d4041c
Will Shipley,189,180.8,193,PHI,RB,60,,f69a3a63-744a-4568-a158-b69f0d5e4eb6
MarShawn Lloyd,190,197,,GB,RB,61,,664c1862-20fe-40a8-ac7e-ff868858dcb9
Juwan Johnson,191,207.9,210,NO,TE,25,,10b27c42-0621-472d-bfa7-3f6c598980be
Ja'Tavion Sanders,192,205,274,CAR,TE,26,,5357fee8-c779-4442-8e21-286ad59d4cbd
Mike Gesicki,193,171.2,132,CIN,TE,27,,a228fb38-ae0f-469d-984a-a7a3a904020d
Cade Otton,194,181.9,120,TB,TE,28,,027fe218-a84a-450c-a89d-7ad6c4cf94b9
Wan'Dale Robinson,195,172.7,164,NYG,WR,76,,42be1a8b-6bdd-4bda-a857-3a01bbc6aeac
Adam Thielen,196,167.1,59,CAR,WR,77,,1cc825d2-4975-4afe-a47d-b69f0e57cbc1
Calvin Austin III,197,198.3,163,PIT,WR,78,,c5278c01-f7c3-4163-9ed0-9b76a84b06d3
Dalton Schultz,198,204.7,231,HOU,TE,29,,ba19979f-896f-429f-89b1-0280ab4b6052
Terrance Ferguson,199,213,,LA,TE,30,Rookie,5d5c4fb2-51dc-40da-9f65-785ee09f784e
Noah Fant,200,215.8,,MIA,TE,31,,49d00288-8c14-4e07-a415-8954c227c9cc
Jarquez Hunter,201,204.1,,LA,RB,62,Rookie,e5efd76e-3450-4e90-b4a4-74a10f8cef0b
Blake Corum,202,211.7,,LA,RB,63,,e34d874e-3fef-4059-887e-33a2485c13b6
Raheem Mostert,203,214.4,202,LV,RB,64,,013d1f80-d88b-47c2-b6b9-d0c833e1cdba
Daniel Jones,204,208.6,189,IND,QB,31,,0b920098-c972-4e90-9e89-7430232e7567
Tyler Shough,205,209.4,,NO,QB,32,Rookie,9d27c511-89bc-4129-a079-334b7b3be97f
Jaxson Dart,206,214.2,,NYG,QB,33,Rookie,0e7d3cb4-f568-41e0-88e6-7812989ae958
Tutu Atwell,207,208.2,253,LA,WR,79,,5ac44ad0-e9ce-44d0-9bf7-82950d46bd63
Jaylin Noel,208,185.1,,HOU,WR,80,Rookie,3dbcda8c-adc6-4d3e-9ed8-12b7581aa0ba
Tyler Lockett,209,209.7,203,TEN,WR,81,,d8b3c731-9054-4d15-a4ee-e12beb4825fa
DeAndre Hopkins,210,190.6,142,BAL,WR,82,,54ad314c-d98a-4087-9831-d9fe55233e1c
Marquez Valdes-Scantling,211,215.1,128,SEA,WR,83,,8781a0c7-14b6-4c09-bf75-0a9da0bd9a31
