Rank,Player,Pos,Team,ADP,Pos Rank,Bye,Finish2024,Notes
202,Jarquez Hunter,RB,LAR,207.0,63,8,,Rookie
203,Blake Corum,RB,LAR,184.0,64,8,,
204,Raheem Mostert,RB,LV,243.0,65,8,202.0,
205,Daniel Jones,QB,IND,238.5,31,11,189.0,
206,Tyler Shough,QB,NO,228.0,32,11,,Rookie
207,Jaxson Dart,QB,NYG,240.0,33,14,,Rookie
208,Tutu Atwell,WR,LAR,284.0,77,8,253.0,
209,Jaylin Noel,WR,HOU,231.5,78,6,,Rookie
210,Tyler Lockett,WR,TEN,249.0,79,10,203.0,
211,DeAndre Hopkins,WR,BAL,160.7,80,7,142.0,
213,Kareem Hunt,RB,KC,173.7,66,10,,
214,Devin Neal,RB,NO,215.5,67,11,,Rookie
215,Devin Singletary,RB,NYG,275.5,68,14,160.0,
216,Keaton Mitchell,RB,BAL,287.0,69,7,,
217,Elijah Arroyo,TE,SEA,210.5,32,8,,Rookie
218,Tre Tucker,WR,LV,265.0,81,8,154.0,
219,Andrei Iosivas,WR,CIN,267.5,82,10,185.0,
220,Jalen Coker,WR,CAR,252.0,83,14,138.0,
221,Ray-Ray McCloud III,WR,ATL,243.0,84,5,211.0,
222,Jalen Tolbert,WR,DAL,305.0,85,10,155.0,
224,Diontae Johnson,WR,CLE,276.0,86,9,,
226,Tyler Higbee,TE,LAR,275.0,33,8,,
227,Pat Freiermuth,TE,PIT,195.3,34,5,140.0,
228,Cole Kmet,TE,CHI,260.0,35,5,133.0,
229,Dontayvion Wicks,WR,GB,280.5,87,5,178.0,
230,Adonai Mitchell,WR,IND,282.5,88,11,289.0,
231,Isaac TeSlaa,WR,DET,276.5,89,8,,Rookie
232,Dont'e Thornton,WR,LV,238.0,90,8,,Rookie
233,Woody Marks,RB,HOU,216.0,70,6,,Rookie
234,Phil Mafah,RB,DAL,317.0,71,10,,Rookie
235,Trevor Etienne,RB,CAR,255.0,72,14,,Rookie
236,Brashard Smith,RB,KC,204.5,73,10,,Rookie
237,Tahj Brooks,RB,CIN,224.5,74,10,,Rookie
239,Kirk Cousins,QB,ATL,222.0,34,5,143.0,Trade Candidate
240,Jalen Milroe,QB,SEA,268.0,35,8,,Rookie
241,Noah Gray,TE,KC,270.5,36,10,174.0,
242,Darren Waller,TE,MIA,212.3,37,12,,
246,Elic Ayomanor,WR,TEN,267.5,91,10,,Rookie
247,Jalen Royals,WR,KC,225.0,92,10,,Rookie
248,Harold Fannin,TE,CLE,268.0,38,9,,Rookie
249,Oronde Gadsden,TE,LAC,286.0,39,12,,Rookie
250,Ben Sinnott,TE,WAS,285.0,40,12,,
251,Isaiah Davis,RB,NYJ,315.0,75,9,204.0,
252,Ollie Gordon,RB,MIA,268.0,76,12,,Rookie
253,Elijah Mitchell,RB,KC,240.5,77,10,,
254,Kyle Monangai,RB,CHI,189.0,78,5,,Rookie
255,Jaleel McLaughlin,RB,DEN,249.0,79,12,252.0,
256,Joe Flacco,QB,CLE,207.0,36,9,199.0,
259,Brandin Cooks,WR,NO,302.0,93,11,239.0,
261,Devaughn Vele,WR,DEN,277.0,94,12,186.0,
262,Tory Horton ,WR,SEA,268.0,95,8,,Rookie
